_ESTYPE_,_TYPE_,_WEIGHT_,Banten,DIY,DKI_Jakarta,Jawa_Barat,Jawa_Tengah,Jawa_Timur
OLS,RESIDUAL,1,1.13,0.81,0.54,1.26,1.24,0.95
OLS,RESIDUAL,1,0.15,0.25,0.16,0.04,-0.09,-0.08
OLS,RESIDUAL,1,-0.08,0.06,-0.19,-0.10,0.27,0.45
OLS,RESIDUAL,1,-0.05,-0.16,-0.07,0.02,-0.10,0.18
OLS,RESIDUAL,1,0.29,0.47,-0.17,0.15,0.14,0.42
OLS,RESIDUAL,1,0.23,0.83,-0.21,0.13,0.22,0.70
OLS,RESIDUAL,1,-0.13,0.25,-0.15,-0.09,0.09,0.22
OLS,RESIDUAL,1,0.08,0.06,0.10,-0.08,-0.06,0.04
OLS,RESIDUAL,1,0.09,0.42,-0.22,0.07,0.12,0.24
OLS,RESIDUAL,1,-0.04,0.06,0.01,-0.10,0.07,-0.06
OLS,RESIDUAL,1,-0.10,-0.26,-0.01,-0.04,-0.07,-0.41
OLS,RESIDUAL,1,-0.03,-0.31,0.10,-0.18,-0.18,-0.49
OLS,RESIDUAL,1,0.11,-0.03,0.29,0.06,0.02,-0.09
OLS,RESIDUAL,1,-0.08,0.08,0.11,0.01,0.08,0.42
OLS,RESIDUAL,1,-0.14,-0.12,-0.17,-0.06,0.05,-0.06
OLS,RESIDUAL,1,-0.09,-0.66,0.22,-0.10,-0.16,-0.91
OLS,RESIDUAL,1,0.09,0.19,-0.02,0.09,-0.07,0.07
OLS,RESIDUAL,1,-0.04,-0.08,0.04,-0.01,-0.01,0.08
OLS,RESIDUAL,1,-0.02,0.04,-0.05,0.05,0.02,-0.01
OLS,RESIDUAL,1,0.07,0.30,-0.03,0.06,0.00,0.13
OLS,RESIDUAL,1,0.13,0.24,-0.15,0.05,0.19,0.45
OLS,RESIDUAL,1,-0.10,-0.42,0.11,-0.14,-0.08,-0.34
OLS,RESIDUAL,1,-0.00,-0.10,0.12,-0.04,-0.18,-0.16
OLS,RESIDUAL,1,-0.14,0.02,-0.14,0.04,0.11,0.22
OLS,RESIDUAL,1,0.13,0.20,-0.05,0.13,0.07,0.14
OLS,RESIDUAL,1,0.04,-0.06,0.11,-0.03,-0.03,-0.07
OLS,RESIDUAL,1,-0.26,-0.15,0.04,-0.15,-0.15,-0.51
OLS,RESIDUAL,1,0.08,0.03,0.03,0.11,0.09,0.08
OLS,RESIDUAL,1,-0.01,-0.12,0.01,0.01,-0.05,0.08
OLS,RESIDUAL,1,0.16,0.59,-0.12,0.15,0.16,0.38
OLS,RESIDUAL,1,0.03,0.44,-0.17,0.07,0.18,0.60
OLS,RESIDUAL,1,0.01,-0.12,-0.12,-0.10,-0.04,0.04
OLS,RESIDUAL,1,-0.00,0.42,0.01,-0.04,0.10,0.00
OLS,RESIDUAL,1,0.03,-0.15,0.05,-0.09,-0.09,-0.33
OLS,RESIDUAL,1,0.03,0.24,-0.02,0.11,0.10,0.19
OLS,RESIDUAL,1,0.02,0.21,-0.14,0.02,0.10,0.37
OLS,RESIDUAL,1,0.06,0.24,-0.01,-0.01,-0.00,0.20
OLS,RESIDUAL,1,-0.07,-0.28,0.03,-0.11,-0.11,-0.27
OLS,RESIDUAL,1,-0.35,-0.01,0.12,-0.08,-0.03,-0.24
OLS,RESIDUAL,1,0.08,-0.54,0.08,-0.11,-0.09,-0.74
OLS,RESIDUAL,1,0.08,0.07,0.07,0.19,0.04,0.07
OLS,RESIDUAL,1,0.04,0.02,-0.06,0.08,0.06,0.25
OLS,RESIDUAL,1,0.06,0.38,-0.07,0.05,0.05,0.17
OLS,RESIDUAL,1,0.09,0.11,-0.17,-0.02,0.04,0.29
OLS,RESIDUAL,1,-0.09,-0.17,0.15,-0.09,0.02,-0.04
OLS,RESIDUAL,1,-0.03,-0.21,0.26,-0.00,-0.14,-0.46
OLS,RESIDUAL,1,-0.03,0.10,-0.21,0.05,0.10,0.29
OLS,RESIDUAL,1,0.02,0.11,-0.04,0.04,-0.02,0.14
OLS,RESIDUAL,1,0.10,-0.08,-0.03,0.05,0.04,-0.03
OLS,RESIDUAL,1,-0.08,-0.17,0.06,-0.12,-0.03,-0.06
OLS,RESIDUAL,1,-0.14,0.09,0.03,-0.02,-0.04,-0.16
OLS,RESIDUAL,1,0.08,-0.16,0.07,0.03,-0.03,-0.06
OLS,RESIDUAL,1,-0.03,-0.17,0.04,-0.03,0.04,-0.08
OLS,RESIDUAL,1,0.11,0.35,-0.05,0.10,0.01,0.24
OLS,RESIDUAL,1,0.01,0.21,-0.09,0.04,0.06,0.13
OLS,RESIDUAL,1,0.01,-0.01,-0.12,0.04,0.11,0.46
OLS,RESIDUAL,1,-0.09,-0.15,0.02,-0.15,-0.22,-0.43
OLS,RESIDUAL,1,0.03,0.11,-0.03,0.02,0.06,-0.04
OLS,RESIDUAL,1,0.01,-0.08,0.12,-0.01,-0.03,-0.04
OLS,RESIDUAL,1,0.10,0.28,-0.09,0.07,0.08,0.20
OLS,RESIDUAL,1,0.08,0.34,-0.12,0.11,0.16,0.34
OLS,RESIDUAL,1,0.07,0.25,-0.05,-0.02,0.03,0.24
OLS,RESIDUAL,1,0.06,0.19,-0.02,-0.01,0.10,0.21
OLS,RESIDUAL,1,-0.19,-0.73,0.25,-0.21,-0.21,-0.86
OLS,RESIDUAL,1,-0.07,-0.40,0.04,0.09,-0.09,-0.23
OLS,RESIDUAL,1,0.24,0.53,-0.21,0.27,0.16,0.45
OLS,RESIDUAL,1,0.35,0.89,-0.35,0.28,0.33,0.99
OLS,RESIDUAL,1,-0.14,0.01,-0.07,-0.20,-0.05,-0.03
OLS,RESIDUAL,1,-0.31,-0.67,0.08,-0.45,-0.42,-0.69
OLS,RESIDUAL,1,0.20,0.42,0.22,0.24,0.23,-0.09
OLS,RESIDUAL,1,-0.02,-0.12,-0.02,-0.08,0.05,-0.02
OLS,RESIDUAL,1,-0.04,-0.08,-0.15,0.07,-0.03,0.24
OLS,RESIDUAL,1,0.22,0.48,-0.09,0.15,0.12,0.41
OLS,RESIDUAL,1,0.02,-0.35,-0.00,-0.08,-0.03,-0.20
OLS,RESIDUAL,1,-0.09,-0.08,0.07,-0.02,-0.05,-0.04
OLS,RESIDUAL,1,0.01,-0.16,0.10,-0.12,-0.11,-0.23
OLS,RESIDUAL,1,-0.00,-0.14,0.06,0.06,0.05,0.02
OLS,RESIDUAL,1,0.02,0.15,-0.08,0.05,0.06,0.08
OLS,RESIDUAL,1,0.08,0.32,-0.19,0.09,0.01,0.10
OLS,RESIDUAL,1,0.10,-0.28,0.03,-0.03,0.01,-0.03
OLS,RESIDUAL,1,0.02,0.17,0.07,-0.01,-0.07,0.01
OLS,RESIDUAL,1,0.09,-0.05,-0.07,-0.01,0.09,0.08
OLS,RESIDUAL,1,0.13,0.49,-0.24,0.18,0.13,0.57
OLS,RESIDUAL,1,0.22,0.58,-0.28,0.11,0.20,0.72
OLS,RESIDUAL,1,-0.30,-0.41,0.54,-0.40,-0.30,-0.45
OLS,RESIDUAL,1,-0.30,-0.72,-0.20,-0.08,-0.11,-0.96
OLS,RESIDUAL,1,0.25,0.15,0.12,0.23,0.10,0.38
OLS,RESIDUAL,1,0.07,0.09,-0.01,0.00,-0.01,0.07
OLS,RESIDUAL,1,0.04,0.03,-0.03,0.02,0.09,0.05
OLS,RESIDUAL,1,0.02,0.01,-0.03,0.02,0.03,0.07
OLS,RESIDUAL,1,0.06,0.20,-0.17,0.06,0.06,0.10
OLS,RESIDUAL,1,0.06,-0.06,0.01,0.00,-0.08,-0.03
OLS,RESIDUAL,1,-0.11,-0.23,0.14,-0.14,-0.10,-0.07
OLS,RESIDUAL,1,-0.04,-0.18,0.11,-0.03,0.00,-0.44
OLS,RESIDUAL,1,0.04,-0.05,0.01,0.07,0.01,-0.05
OLS,RESIDUAL,1,0.12,0.45,-0.15,0.11,0.11,0.42
OLS,RESIDUAL,1,0.03,0.03,0.05,-0.04,-0.01,0.09
OLS,RESIDUAL,1,-0.20,-0.42,0.11,-0.18,-0.13,-0.46
OLS,RESIDUAL,1,0.02,-0.12,0.00,0.09,0.09,-0.08
OLS,RESIDUAL,1,-0.27,-0.37,0.28,-0.14,-0.28,-0.47
OLS,RESIDUAL,1,0.10,-0.03,-0.06,0.15,0.10,0.08
OLS,RESIDUAL,1,0.06,0.15,-0.08,0.10,0.03,0.26
OLS,RESIDUAL,1,0.00,0.36,-0.08,-0.01,0.13,0.23
OLS,RESIDUAL,1,-0.11,-0.43,0.15,-0.16,-0.20,-0.45
OLS,RESIDUAL,1,0.06,-0.33,0.01,0.09,0.05,0.01
OLS,RESIDUAL,1,-0.03,-0.09,0.00,0.00,-0.08,-0.35
OLS,RESIDUAL,1,0.10,0.09,0.04,0.12,0.06,0.16
OLS,RESIDUAL,1,0.02,0.02,-0.02,-0.02,-0.07,0.16
OLS,RESIDUAL,1,0.04,0.53,-0.19,0.06,0.19,0.60
OLS,RESIDUAL,1,-0.02,-0.14,0.05,-0.09,0.00,-0.29
OLS,RESIDUAL,1,-0.06,-0.34,0.10,-0.06,-0.14,-0.36
OLS,RESIDUAL,1,-0.02,0.09,0.10,0.04,0.10,0.12
OLS,RESIDUAL,1,0.02,0.02,-0.14,0.03,-0.00,0.12
OLS,RESIDUAL,1,0.07,0.19,-0.03,0.09,0.00,0.09
OLS,RESIDUAL,1,-0.10,0.02,-0.03,-0.14,-0.05,-0.19
OLS,RESIDUAL,1,-0.02,-0.88,0.10,-0.03,-0.18,-0.52
OLS,RESIDUAL,1,0.11,0.13,0.12,0.14,0.07,0.15
OLS,RESIDUAL,1,-0.09,-0.08,0.04,-0.05,-0.08,-0.21
OLS,RESIDUAL,1,0.04,-0.03,0.05,0.04,0.06,0.03
OLS,RESIDUAL,1,0.05,0.40,-0.15,0.05,0.07,0.29
OLS,RESIDUAL,1,-0.06,0.06,-0.01,0.04,0.10,0.09
OLS,RESIDUAL,1,-0.03,-0.38,-0.02,-0.05,-0.06,-0.20
OLS,RESIDUAL,1,0.05,-0.04,0.11,0.03,-0.14,-0.15
OLS,RESIDUAL,1,-0.01,-0.12,0.05,-0.07,-0.02,-0.03
OLS,RESIDUAL,1,-0.05,-0.13,-0.09,0.05,-0.02,-0.06
OLS,RESIDUAL,1,0.07,0.18,-0.01,0.09,0.12,0.14
OLS,RESIDUAL,1,0.04,0.14,0.04,-0.01,-0.10,-0.24
OLS,RESIDUAL,1,-0.04,-0.60,0.09,-0.08,-0.05,-0.12
OLS,RESIDUAL,1,-0.03,-0.22,0.16,-0.03,-0.03,-0.18
OLS,RESIDUAL,1,-0.05,-0.03,-0.08,0.08,0.00,0.02
OLS,RESIDUAL,1,0.06,0.15,0.01,0.03,-0.04,0.01
OLS,RESIDUAL,1,0.05,0.16,-0.09,0.05,0.06,0.20
OLS,RESIDUAL,1,-0.01,0.03,0.05,-0.03,0.00,-0.05
OLS,RESIDUAL,1,-0.09,-0.37,-0.00,-0.09,-0.12,-0.48
OLS,RESIDUAL,1,0.04,0.09,0.09,0.08,0.09,0.06
OLS,RESIDUAL,1,0.04,0.13,-0.06,0.05,0.02,0.11
OLS,RESIDUAL,1,0.02,0.05,-0.08,0.08,-0.00,-0.05
OLS,RESIDUAL,1,0.04,-0.07,-0.02,-0.00,0.07,-0.15
OLS,RESIDUAL,1,0.01,-0.21,0.04,0.02,-0.06,-0.08
OLS,RESIDUAL,1,0.03,-0.14,0.04,0.03,-0.05,-0.11
OLS,RESIDUAL,1,-0.11,-0.28,0.12,-0.13,-0.18,-0.29
OLS,RESIDUAL,1,0.02,0.02,-0.01,0.03,0.01,-0.15
OLS,RESIDUAL,1,0.06,0.05,0.04,0.06,0.02,0.04
OLS,RESIDUAL,1,-0.03,0.12,-0.02,0.02,0.06,0.17
OLS,RESIDUAL,1,0.01,-0.06,0.01,0.02,-0.05,0.08
OLS,RESIDUAL,1,-0.04,0.08,-0.01,-0.02,0.09,-0.04
OLS,RESIDUAL,1,-0.06,-0.22,-0.02,-0.00,-0.08,-0.29
OLS,RESIDUAL,1,0.05,-0.47,0.03,0.01,-0.04,-0.30
OLS,RESIDUAL,1,0.01,0.10,0.16,-0.00,-0.08,0.06
OLS,RESIDUAL,1,-0.03,-0.16,0.03,0.05,0.02,0.02
OLS,RESIDUAL,1,-0.09,-0.30,0.10,-0.08,-0.10,-0.59
OLS,RESIDUAL,1,-0.04,-0.18,0.12,0.01,-0.06,-0.02
OLS,RESIDUAL,1,-0.06,-0.14,0.03,-0.00,-0.03,-0.34
OLS,RESIDUAL,1,-0.00,-0.10,0.08,0.02,-0.02,-0.14
OLS,RESIDUAL,1,-0.03,-0.08,-0.04,0.04,-0.04,0.06
OLS,RESIDUAL,1,0.00,0.17,0.02,0.07,0.04,0.13
OLS,RESIDUAL,1,-0.01,0.12,0.04,-0.06,-0.02,-0.04
OLS,RESIDUAL,1,-0.04,-0.18,0.00,-0.03,0.02,-0.09
OLS,RESIDUAL,1,-0.05,-0.15,0.08,-0.04,-0.04,-0.13
OLS,RESIDUAL,1,-0.01,-0.19,0.05,0.04,-0.04,-0.11
OLS,RESIDUAL,1,-0.00,-0.12,-0.07,0.05,-0.01,0.04
OLS,RESIDUAL,1,-0.08,-0.16,0.32,-0.10,-0.12,-0.11
OLS,RESIDUAL,1,-0.08,-0.09,-0.01,0.02,0.04,-0.05
OLS,RESIDUAL,1,-0.04,-0.17,0.01,-0.01,-0.04,0.01
OLS,RESIDUAL,1,-0.08,-0.39,0.12,-0.06,-0.05,-0.35
OLS,RESIDUAL,1,0.00,0.09,0.03,0.05,0.00,0.05
OLS,RESIDUAL,1,-0.02,0.12,-0.07,0.02,0.01,0.06
OLS,RESIDUAL,1,0.09,0.24,-0.03,0.04,0.07,0.24
OLS,RESIDUAL,1,0.02,0.11,-0.05,-0.02,0.01,0.01
OLS,RESIDUAL,1,-0.08,-0.28,0.16,-0.04,-0.05,-0.27
OLS,RESIDUAL,1,0.12,0.37,-0.12,0.09,0.12,0.35
OLS,RESIDUAL,1,0.03,0.39,-0.12,0.05,0.11,0.34
OLS,RESIDUAL,1,-0.11,0.13,0.11,-0.12,0.02,-0.05
OLS,RESIDUAL,1,0.01,0.06,-0.08,0.00,0.10,0.08
OLS,RESIDUAL,1,-0.06,0.06,-0.10,0.00,-0.03,0.14
OLS,RESIDUAL,1,-0.11,-0.44,0.22,-0.11,-0.20,-0.26
OLS,RESIDUAL,1,0.17,0.58,-0.28,0.23,0.29,0.71
OLS,RESIDUAL,1,-0.17,-0.32,0.22,-0.22,-0.16,-0.14
OLS,RESIDUAL,1,-0.08,0.06,0.03,0.01,0.06,0.01
OLS,RESIDUAL,1,0.04,0.24,-0.12,0.10,0.07,0.20
